title,company,location,description,url,salary_min,salary_max,rejection_reason,source
Web Developer Trainee,ITOL Recruit,LS13AD,"Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previo... ",https://www.reed.co.uk/jobs/web-developer-trainee/56870508,29000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Coding and Programming Trainee,ITOL Recruit,United Kingdom,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",https://www.reed.co.uk/jobs/coding-and-programming-trainee/56859033,27000.0,35000.0,Not a software/technical role; Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Coding and Programming Trainee,ITOL Recruit,LS13AD,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",https://www.reed.co.uk/jobs/coding-and-programming-trainee/56858429,27000.0,35000.0,Not a software/technical role; Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,LS14DY,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56450998,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,HD12QB,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56450993,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,BD11HY,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56450836,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,HX11QL,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56450973,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,WF11BA,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56451129,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Website Administrator,ITOL Recruit,Leeds,"If you are looking to progress a career in website administrator, then this training and placement programme is made for you? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. All you need is a desire to work hard and invest some time and money in yourself to build the foundations for a new career. We help you start your career journey in programming by firstly ensuring you have ... ",https://www.reed.co.uk/jobs/trainee-website-administrator/56916896,28000.0,35000.0,Not a software/technical role; Title not junior or graduate; Salary below minimum,Reed
Trainee Software Developer,ITOL Recruit,Manchester,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/trainee-software-developer/56890033,29000.0,35000.0,Title not junior or graduate; Salary below minimum,Reed
Trainee Software Developer,ITOL Recruit,United Kingdom,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/trainee-software-developer/56859045,26000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
IT Support Apprentice,QA,M307EY,"About Connectus Group: Connectus Group Limited has over 20 years of experience delivering managed services to public sector clients, technology partners, schools, SMEs, and large corporations across the UK. Our solutions empower businesses to work faster, smarter, and more securely. We offer services in connectivity, network and cybersecurity, voice, IT support, and data storage and backup Responsibilities: Act as the first point of contact for ... ",https://www.reed.co.uk/jobs/it-support-apprentice/56898636,20000.0,20000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Graduate CAD Technician (Internal Training),Ernest Gordon Recruitment Limited,Stockport,"Graduate CAD Technician (Internal Training) Stockport 30,000 to 40,000 + Training + Flexitime + Progression + Overtime + Company Benefits Are you a Graduate CAD Technician or similar with a background in AutoCAD looking to join a leading manufacturer of cutting embossing and foiling tools for a wide range of industries across the UK, offering great internal training opportunities? Do you want to join one of the UK leading manufactures for produc... ",https://www.reed.co.uk/jobs/graduate-cad-technician-internal-training/56789328,30000.0,40000.0,Not a software/technical role; Location not allowed,Reed
Junior Electrical Engineer,Hays Specialist Recruitment Limited,Rochdale,"Job Title: Graduate/ Junior Electrical Design Engineer - Building Services Location: Rochdale Full-timeSalary: 30,000 - 35,000 Company Information Are you a Graduate/ Junior Electrical Design Engineer who is looking to work on technically challenging, high-value and rewarding projects in a specialist sector like the pharmaceutical sector? This is an opportunity to join a well-established Building Services Contractor with over 25 years of experie... ",https://www.reed.co.uk/jobs/junior-electrical-engineer/56870857,28000.0,35000.0,Not a software/technical role; Location not allowed; Salary below minimum,Reed
Mechanical Design Engineer,Dexters Great Yarmouth,M241SA,"Mechanical Design Engineer Middleton, Manchester Permanent Annual Pay Rate: 42,500 - 47,500 Hours: 7:30 - 16:00 Monday to Thursday 7:30 - 12:30 Friday Holiday: 26 + 8 bank holidays 3 days in office / 2 WFH but at HM's discretion We are looking for a Mechanical Design Engineer to join our clients Manchester-based team. This role will support the design and development of engineered products and systems, ensuring solutions are robust, compliant, a... ",https://www.reed.co.uk/jobs/mechanical-design-engineer/56890959,42500.0,47500.0,Not a software/technical role; Title not junior or graduate; Location not allowed,Reed
".NET Developer, Graduate / Junior",Noir,M11AR,".NET Developer, Graduate / Junior - Computer Gaming Co - Manchester (Tech stack: Graduate / Junior .NET Developer, .NET 10.0, ASP.NET Core, C# 14, Azure, Angular 21, Vue.js, TypeScript, Multithreading, RESTful, ASP.NET Core Web API, EF Core 10.0, Programmer, Full Stack Engineer, Architect, Graduate / Junior .NET Developer) Having sold over 100 million games consoles and over 500 million games over the last decade, my client is undoubtedly the wo... ",https://www.reed.co.uk/jobs/net-developer-graduate-junior/56911013,35000.0,45000.0,Location not allowed,Reed
Principal Mechanical Design engineer,Hays Specialist Recruitment Limited,Manchester,"Your new company We work on projects that truly make an impact, from healthcare and education to commercial developments across the UK. Our focus is on helping organisations achieve their sustainability goals and move towards a net-zero future, using advanced design tools and innovative thinking. Collaborative, and supportive. We believe in helping every team member grow professionally and personally through continuous learning and exciting chal... ",https://www.reed.co.uk/jobs/principal-mechanical-design-engineer/56835676,45000.0,55000.0,Not a software/technical role; Title not junior or graduate,Reed
Web Developer Trainee,ITOL Recruit,M25DB,"Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previo... ",https://www.reed.co.uk/jobs/web-developer-trainee/56870515,29000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Coding and Programming Trainee,ITOL Recruit,M25DB,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",https://www.reed.co.uk/jobs/coding-and-programming-trainee/56884907,27000.0,35000.0,Not a software/technical role; Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Coding and Programming Trainee,ITOL Recruit,United Kingdom,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",https://www.reed.co.uk/jobs/coding-and-programming-trainee/56859033,27000.0,35000.0,Not a software/technical role; Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,M11AE,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56451012,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,SK11EB,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56451117,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,M337XN,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56451061,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,BL11TS,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56450832,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,WA11RG,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56451139,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,M502EQ,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56451064,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,WA101HF,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56451060,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,OL161XU,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56451055,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,WN11AE,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56451143,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,SR13AA,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56871100,28000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,CV15RR,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56871078,28000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,LE19BG,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56945090,30000.0,35000.0,Title not junior or graduate; Location not allowed,Reed
Software Developer Trainee,ITOL Recruit,S12HH,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56924118,26000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,W52BJ,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56863813,28000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,E62RP,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56863778,28000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,EN13ES,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56827577,28000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,CF103ND,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56827569,28000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,LS13AD,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56827558,28000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,NW44BG,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56827544,28000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,G11AB,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56811135,30000.0,35000.0,Title not junior or graduate; Location not allowed,Reed
Software Developer Trainee,ITOL Recruit,B33DQ,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56924152,30000.0,35000.0,Title not junior or graduate; Location not allowed,Reed
Software Developer Trainee,ITOL Recruit,BS15TR,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56884005,29000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Software Developer Trainee,ITOL Recruit,ST41RN,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/software-developer-trainee/56827559,28000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Junior Java Software Engineer,Adecco ,Ireland,"Join Our Team as a Junior Java Software Engineer! Are you ready to kickstart your career in software engineering? Our client, a leading organization, is on the lookout for a passionate Junior/Graduate Java Software Engineer to join their innovative team on a contract basis! This is an exciting opportunity for someone eager to learn, grow, and contribute to cutting-edge projects. Contract Details: Contract Contract Length: 6 months initially Hour... ",https://www.reed.co.uk/jobs/junior-java-software-engineer/56901887,25.0,28.0,Location not allowed; Salary below minimum,Reed
Software Engineer (Object-Oriented Programming),Ernest Gordon Recruitment Limited,Lancaster,"Software Engineer (Object-Oriented Programming) Highly Competitive Salary + Hybrid + 25 Days Holiday + Training + Progression + Benefits Lancaster, Lancashire Are you a Software Engineer from an OOP background looking to working at the bleeding edge of satellite communication where you'll be developing from scratch for the defense sector? Do you want to work along side a longstanding, highly skilled team of engineers where you'll be working on c... ",https://www.reed.co.uk/jobs/software-engineer-object-oriented-programming/56904535,,,Title not junior or graduate; Location not allowed,Reed
Software Developer (Python / TypeScript / Vue / C++),Ernest Gordon Recruitment Limited,Lancaster,"Software Developer (Python / TypeScript / Vue / C++) Highly Competitive Salary + Hybrid + 25 Days Holiday + Training + Progression + Benefits Lancaster, Lancashire Are you a Software Developer / Engineer with knowledge of Python, TypeScript, Vue and C++ where you will be working on cutting-edge solutions for the defence sectors and supplying truly world-class products? Do you want to work in a closely knit, cross-functional engineering team maki... ",https://www.reed.co.uk/jobs/software-developer-python-typescript-vue-c/56831458,,,Title not junior or graduate; Location not allowed,Reed
Graduate .NET Developer,Noir,EC3R8EE,"Graduate .NET Developer - Investment Bank - London (Tech stack: Graduate .NET Developer, .NET 10.0, ASP.NET Core, C# 14, Blazor, JavaScript, React, Microservices, Azure, ASP.NET Core Web API, Agile, Azure SQL, Programmer, Full Stack Engineer, Architect, Graduate .NET Developer) Our client is the world's most respected banking institution. Their story dates back to the 1890s and today they operate from over 10,000 offices in 100 countries. Workin... ",https://www.reed.co.uk/jobs/graduate-net-developer/56911017,35000.0,60000.0,Location not allowed,Reed
AI Engineer,SF Partners,B12JT,"AI Engineer Salary: up to 65,000 Location: UK based - Midlands preferred, but remote considered Type: Permanent I'm working with a growing fintech/scale-up that is building AI into a customer-facing product used within the affordability and financial services space. They already have an AI virtual assistant within the platform, but until now a lot of the specialist AI work has sat with an external partner. They've reached the point where they wa... ",https://www.reed.co.uk/jobs/ai-engineer/56926856,60000.0,70000.0,Not a software/technical role; Title not junior or graduate; Location not allowed,Reed
".NET Developer, Graduate / Junior",Noir,M11AR,".NET Developer, Graduate / Junior - Computer Gaming Co - Manchester (Tech stack: Graduate / Junior .NET Developer, .NET 10.0, ASP.NET Core, C# 14, Azure, Angular 21, Vue.js, TypeScript, Multithreading, RESTful, ASP.NET Core Web API, EF Core 10.0, Programmer, Full Stack Engineer, Architect, Graduate / Junior .NET Developer) Having sold over 100 million games consoles and over 500 million games over the last decade, my client is undoubtedly the wo... ",https://www.reed.co.uk/jobs/net-developer-graduate-junior/56911013,35000.0,45000.0,Location not allowed,Reed
Trainee Software Developer,ITOL Recruit,EH88BG,"Trainee Coding Programme – No Experience Needed Future-proof your career in Coding – starting today. Looking for a career change? Maybe you’re already working but want a more technical role with better long-term prospects. Or you could be between jobs and ready for a fresh start in tech. The ITOL Recruit Coding Job Programme is designed to help you move into a high-demand coding role, even if you have no prior experience. Train online at your ow... ",https://www.reed.co.uk/jobs/trainee-software-developer/56858811,30000.0,45000.0,Title not junior or graduate; Location not allowed,Reed
Trainee Software Developer,ITOL Recruit,United Kingdom,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",https://www.reed.co.uk/jobs/trainee-software-developer/56859045,26000.0,35000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee Web Developer,IT Career Switch,EH11BQ,Trainee Web Developer - No Experience Required Are you looking to kick-start a new career as a web developer? We are recruiting for companies who are looking to employ our Coding Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee within 20 miles of your location upon completion. Whether you are work... ,https://www.reed.co.uk/jobs/trainee-web-developer/56450918,25000.0,45000.0,Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Junior AI Developer,Newto Training,United Kingdom,"Are you ready to start a new career in AI Engineering? AI is expected to generate 170 million jobs by 2030 and at present experienced professionals can earn salaries of upwards of 66,000. In today’s digital world, AI is transforming every aspect of our lives and is at the heart of modern technological advancements. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new caree... ",https://www.reed.co.uk/jobs/junior-ai-developer/56851071,20000.0,50000.0,Location not allowed; Salary below minimum,Reed
Coding and Programming Trainee,ITOL Recruit,United Kingdom,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",https://www.reed.co.uk/jobs/coding-and-programming-trainee/56859033,27000.0,35000.0,Not a software/technical role; Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Coding and Programming Trainee,ITOL Recruit,EH88BG,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",https://www.reed.co.uk/jobs/coding-and-programming-trainee/56858427,27000.0,35000.0,Not a software/technical role; Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Trainee AI Engineer,Newto Training,United Kingdom,"Are you ready to start a new career in AI Engineering? AI is expected to generate 170 million jobs by 2030 and at present experienced professionals can earn salaries of upwards of 66,000. In today’s digital world, AI is transforming every aspect of our lives and is at the heart of modern technological advancements. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new caree... ",https://www.reed.co.uk/jobs/trainee-ai-engineer/56851072,20000.0,50000.0,Not a software/technical role; Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Junior Machine Learner,Newto Training,United Kingdom,"Are you ready to start a new career in AI Engineering? AI is expected to generate 170 million jobs by 2030 and at present experienced professionals can earn salaries of upwards of 66,000. In today’s digital world, AI is transforming every aspect of our lives and is at the heart of modern technological advancements. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new caree... ",https://www.reed.co.uk/jobs/junior-machine-learner/56851069,20000.0,50000.0,Not a software/technical role; Location not allowed; Salary below minimum,Reed
Junior AI Engineer,Newto Training,United Kingdom,"Are you ready to start a new career in AI Engineering? AI is expected to generate 170 million jobs by 2030 and at present experienced professionals can earn salaries of upwards of 66,000. In today’s digital world, AI is transforming every aspect of our lives and is at the heart of modern technological advancements. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new caree... ",https://www.reed.co.uk/jobs/junior-ai-engineer/56851073,20000.0,50000.0,Not a software/technical role; Location not allowed; Salary below minimum,Reed
Trainee AI Engineer - job guarantee,Newto Training,United Kingdom,"Are you ready to start a new career in AI Engineering? AI is expected to generate 170 million jobs by 2030 and at present experienced professionals can earn salaries of upwards of 66,000. In today’s digital world, AI is transforming every aspect of our lives and is at the heart of modern technological advancements. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new caree... ",https://www.reed.co.uk/jobs/trainee-ai-engineer-job-guarantee/56851068,20000.0,50000.0,Not a software/technical role; Title not junior or graduate; Location not allowed; Salary below minimum,Reed
Junior AI Engineer - job guarantee,Newto Training,United Kingdom,"Are you ready to start a new career in AI Engineering? AI is expected to generate 170 million jobs by 2030 and at present experienced professionals can earn salaries of upwards of 66,000. In today’s digital world, AI is transforming every aspect of our lives and is at the heart of modern technological advancements. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new caree... ",https://www.reed.co.uk/jobs/junior-ai-engineer-job-guarantee/56851070,20000.0,50000.0,Not a software/technical role; Location not allowed; Salary below minimum,Reed
